"","episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
"239","239",2022-09-25,2022,13,"1","""To Bob, or Not to Bob""","Chris Song","Lizzie Molyneux-Logelin & Wendy Molyneux",1.67
"240","240",2022-10-02,2022,13,"2","""The Reeky Lake Show""","Mathew Long","Rich Rinaldi",1.06
"241","241",2022-10-09,2022,13,"3","""What About Job?""","Tom Riggin","Lizzie Molyneux-Logelin & Wendy Molyneux",1.68
"242","242",2022-10-16,2022,13,"4","""Comet-y of Errors""","Brian LoSchiavo","Dan Fybel",0.92
"243","243",2022-10-23,2022,13,"5","""So You Stink You Can Dance""","Ryan Mattos","Jon Schroeder",1.49
"244","244",2022-10-30,2022,13,"6","""Apple Gore-chard! (But Not Gory)""","Chris Song","Scott Jacobson",1.66
"245","245",2022-11-13,2022,13,"7","""Ready Player Gene""","Matthew Long","Jameel Saleem",1.65
"246","246",2022-11-20,2022,13,"8","""Putts-giving""","Tom Riggin","Katie Crown",1.09
"247","247",2022-11-27,2022,13,"9","""Show Mama from the Grave""","Brian LoSchiavo","Holly Schlesinger",1.22
"248","248",2022-12-11,2022,13,"10","""The Plight Before Christmas""","Chris Song","Teleplay by : Loren BouchardStory by : Kelvin Yu",1.46
"249","249",2023-01-08,2023,13,"11","""Cheaty Cheaty Bang Bang""","Ryan Mattos","Steven Davis",1.35
"250","250",2023-02-19,2023,13,"12","""Oh Row You Didn't""","Matthew Long","Rich Rinaldi",1.01
"251","251",2023-02-26,2023,13,"13","""Stop! Or My Mom Will Sleuth!""","Tom Riggin","Dan Fybel",0.87
"252","252",2023-03-05,2023,13,"14","""These Boots Are Made for Stalking""","Brian LoSchiavo","Lindsey Stoddart",0.78
"253","253",2023-03-12,2023,13,"15","""The Show (and Tell) Must Go On""","Ryan Mattos","Jon Schroeder",0.84
"254","254",2023-03-19,2023,13,"16","""What a (April) Fool Believes""","Matthew Long","Greg Thompson",0.75
"255","255",2023-03-19,2023,13,"17","""Crows Encounters of the Bird Kind""","Chris Song","Scott Jacobson",0.81
"256","256",2023-04-16,2023,13,"18","""Gift Card or Buy Trying""","Tom Riggin","Jameel Saleem",0.67
"257","257",2023-04-23,2023,13,"19","""Crab-solutely Fabulous""","Brian LoSchiavo","Katie Crown",0.8
"258","258",2023-04-30,2023,13,"20","""Radio No You Didn't""","Ryan Mattos","Holly Schlesinger",0.82
"259","259",2023-05-14,2023,13,"21","""Mother Author Laser Pointer""","Chris Song","Lindsey Stoddart",0.72
"260","260",2023-05-21,2023,13,"22","""Amelia""","Matthew Long & Brian LoSchiavo","Loren Bouchard",0.72
"261","261",2023-10-01,2023,14,"1","""Fight at the Not Okay Chore-ral""","Bernard Derriman","Nora Smith",1.23
"262","262",2023-10-08,2023,14,"2","""The Amazing Rudy""","Ryan Mattos","Lizzie Molyneux-Logelin & Wendy Molyneux",0.82
"263","263",2023-10-22,2023,14,"3","""The Pickleorette""","Chris Song","Steven Davis",0.78
"264","264",2023-10-29,2023,14,"4","""Running Down a Gene""","Matthew Long","Holly Schlesinger",0.91
"265","265",2023-11-05,2023,14,"5","""Bully-ieve It or Not""","Brian LoSchiavo","Jon Schroeder",1.56
"266","266",2023-11-12,2023,14,"6","""Escape from Which Island?""","Chris Song","Rich Rinaldi",1.43
"267","267",2023-11-19,2023,14,"7","""The (Raccoon) King and I""","Ryan Mattos","Scott Jacobson",0.86
"268","268",2023-11-26,2023,14,"8","""Wharf, Me Worry?""","Matthew Long","Katie Crown",0.87
"269","269",2023-12-03,2023,14,"9","""Fraud of the Dead: Zombie-docu-pocalypse""","Brian Loschiavo","Jameel Saleem",1.3
"270","270",2023-12-17,2023,14,"10","""The Nightmare 2 Days Before Christmas""","Ryan Mattos","Lindsey Stoddart",1.5
"271","271",2024-01-07,2024,14,"11","""Mission Impossi-Bob""","Chris Song","Steven Davis",0.98
"272","272",2024-03-10,2024,14,"12","""Jade in the Shade""","Matthew Long","Jon Schroeder",0.79
"273","273",2024-05-19,2024,14,"13","""Butt Sweat and Fears""","Brian Loschiavo","Holly Schlesinger",0.59
"274","274",2024-09-08,2024,14,"14","""The Big Stieblitzki""","Ryan Mattos","Scott Jacobson",1.91
"275","275",2024-09-15,2024,14,"15","""The Right Tough Stuff""","TBA","TBA",NA
"276","276",2024-09-22,2024,14,"16","""To Catch a Beef""","TBA","TBA",NA
