"","episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
"44","44",2013-05-05,2013,3,"22","""Carpe Museum""","Tyree Dillihay","Jon Schroeder",3.96
"45","45",2013-05-12,2013,3,"23","""The Unnatural""","Wes Archer","Greg Thompson",3.38
"46","46",2013-09-29,2013,4,"1","""A River Runs Through Bob""","Jennifer Coyle","Dan Fybel & Rich Rinaldi",4.48
"47","47",2013-10-06,2013,4,"2","""Fort Night""","Boohwan Lim & Kyounghee Lim","Mike Olsen",4.21
"48","48",2013-11-03,2013,4,"3","""Seaplane!""","Jennifer Coyle","Dan Fybel & Rich Rinaldi",3.75
"49","49",2013-11-10,2013,4,"4","""My Big Fat Greek Bob""","Don MacKinnon","Scott Jacobson",3.17
"50","50",2013-11-24,2013,4,"5","""Turkey in a Can""","Boohwan Lim & Kyounghee Lim","Lizzie Molyneux & Wendy Molyneux",4.08
"51","51",2013-12-01,2013,4,"6","""Purple Rain-Union""","Tyree Dillihay","Loren Bouchard & Nora Smith",3.39
"52","52",2013-12-08,2013,4,"7","""Bob and Deliver""","Don MacKinnon","Greg Thompson",4.6
"53","53",2013-12-15,2013,4,"8","""Christmas in the Car""","Bernard Derriman & Jennifer Coyle","Steven Davis & Kelvin Yu",5.57
"54","54",2014-01-05,2014,4,"9","""Slumber Party""","Jennifer Coyle","Scott Jacobson",6.35
"55","55",2014-01-12,2014,4,"10","""Presto Tina-o""","Chris Song","Kit Boss",4.2
"56","56",2014-01-26,2014,4,"11","""Easy Com-mercial, Easy Go-mercial""","Tyree Dillihay","Jon Schroeder",3.24
"57","57",2014-03-09,2014,4,"12","""The Frond Files""","Jennifer Coyle","Lizzie Molyneux & Wendy Molyneux",2.21
"58","58",2014-03-16,2014,4,"13","""Mazel-Tina""","Brian Loschiavo","Holly Schlesinger",2.44
"59","59",2014-03-23,2014,4,"14","""Uncle Teddy""","Don MacKinnon","Dan Fybel & Rich Rinaldi",2.45
"60","60",2014-03-30,2014,4,"15","""The Kids Rob a Train""","Boohwan Lim & Kyounghee Lim","Steven Davis & Kelvin Yu",2.26
"61","61",2014-04-06,2014,4,"16","""I Get Psy-chic Out of You""","Chris Song","Jon Schroeder",2.27
"62","62",2014-04-13,2014,4,"17","""The Equestranauts""","Tyree Dillihay","Dan Mintz",1.83
"63","63",2014-04-20,2014,4,"18","""Ambergris""","Don MacKinnon","Scott Jacobson",1.52
"64","64",2014-04-27,2014,4,"19","""The Kids Run Away""","Boohwan Lim & Kyounghee Lim","Rich Rinaldi",2.26
"65","65",2014-05-04,2014,4,"20","""Gene It On""","Chris Song","Greg Thompson",2.23
"66","66",2014-05-11,2014,4,"21","""Wharf Horse (or How Bob Saves/Destroys the Town – Part I)""","Brian Loschiavo","Nora Smith",1.97
"67","67",2014-05-18,2014,4,"22","""World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town – Part II)""","Jennifer Coyle","Lizzie Molyneux & Wendy Molyneux",1.95
"68","68",2014-10-05,2014,5,"1","""Work Hard or Die Trying, Girl""","Jennifer Coyle","Nora Smith",3.14
"69","69",2014-11-02,2014,5,"2","""Tina and the Real Ghost""","Boohwan Lim & Kyounghee Lim","Steven Davis & Kelvin Yu",2.89
"70","70",2014-11-16,2014,5,"3","""Friends with Burger-fits""","Tyree Dillihay","Dan Fybel",3.35
"71","71",2014-11-23,2014,5,"4","""Dawn of the Peck""","Tyree Dillihay","Lizzie Molyneux & Wendy Molyneux",1.9
"72","72",2014-11-30,2014,5,"5","""Best Burger""","Don MacKinnon","Mike Benner",2.23
"73","73",2014-12-07,2014,5,"6","""Father of the Bob""","Chris Song","Steven Davis & Kelvin Yu",3.18
"74","74",2014-12-14,2014,5,"7","""Tina Tailor Soldier Spy""","Don MacKinnon","Holly Schlesinger",2.54
"75","75",2015-01-04,2015,5,"8","""Midday Run""","Ian Hamilton","Scott Jacobson",3.95
"76","76",2015-01-11,2015,5,"9","""Speakeasy Rider""","Jennifer Coyle","Rich Rinaldi",3.34
"77","77",2015-01-25,2015,5,"10","""Late Afternoon in the Garden of Bob and Louise""","Boohwan Lim & Kyounghee Lim","Jon Schroeder",2.49
"78","78",2015-02-08,2015,5,"11","""Can't Buy Me Math""","Tyree Dillihay","Dan Fybel",1.94
"79","79",2015-02-15,2015,5,"12","""The Millie-churian Candidate""","Don MacKinnon","Greg Thompson",2.01
"80","80",2015-03-01,2015,5,"13","""The Gayle Tales""","Ian Hamilton","Lizzie Molyneux & Wendy Molyneux",3.03
"81","81",2015-03-08,2015,5,"14","""L'il Hard Dad""","Chris Song","Nora Smith",2.56
"82","82",2015-03-15,2015,5,"15","""Adventures in Chinchilla-sitting""","Cecilia Aranovich","Mike Benner",2.24
"83","83",2015-03-22,2015,5,"16","""The Runway Club""","Jennifer Coyle","Steven Davis & Kelvin Yu",2.21
"84","84",2015-04-26,2015,5,"17","""Itty Bitty Ditty Committee""","Bernard Derriman","Holly Schlesinger",2.04
"85","85",2015-05-03,2015,5,"18","""Eat, Spray, Linda""","Tyree Dillihay","Jon Schroeder",2.24
"86","86",2015-05-10,2015,5,"19","""Housetrap""","Jennifer Coyle & Bernard Derriman","Dan Fybel",2.47
"87","87",2015-05-17,2015,5,"20","""Hawk & Chick""","Tyree Dillihay","Rich Rinaldi",1.95
"88","88",2015-05-17,2015,5,"21","""The Oeder Games""","Don MacKinnon","Scott Jacobson",2.44
"89","89",2015-09-27,2015,6,"1","""Sliding Bobs""","Don MacKinnon","Greg Thompson",2.51
"90","90",2015-10-11,2015,6,"2","""The Land Ship""","Jennifer Coyle","Holly Schlesinger & H. Jon Benjamin",2.19
"91","91",2015-10-18,2015,6,"3","""The Hauntening""","Jennifer Coyle","Steven Davis & Kelvin Yu",2.09
"92","92",2015-11-08,2015,6,"4","""Gayle Makin' Bob Sled""","Tyree Dillihay","Lizzie Molyneux & Wendy Molyneux",3.13
"93","93",2015-11-15,2015,6,"5","""Nice-Capades""","Chris Song","Dan Fybel",2.27
"94","94",2016-01-17,2016,6,"6","""The Cook, the Steve, the Gayle, & Her Lover""","Tyree Dillihay","Nora Smith",2.26
"95","95",2016-02-14,2016,6,"7","""The Gene and Courtney Show""","Chris Song","Rich Rinaldi",2.05
"96","96",2016-02-21,2016,6,"8","""Sexy Dance Healing""","Chris Song & Bernard Derriman","Rich Rinaldi",2.29
"97","97",2016-03-06,2016,6,"9","""Sacred Couch""","Brian Loschiavo","Scott Jacobson",2.64
"98","98",2016-03-13,2016,6,"10","""Lice Things Are Lice""","Brian Loschiavo","Greg Thompson",2.28
"99","99",2016-04-03,2016,6,"11","""House of 1000 Bounces""","Tyree Dillihay","Mike Benner",2.05
"100","100",2016-04-03,2016,6,"12","""Stand by Gene""","Tyree Dillihay","Jon Schroeder",1.99
"101","101",2016-04-10,2016,6,"13","""Wag the Hog""","Brian Loschiavo","Holly Schlesinger",2.35
"102","102",2016-04-17,2016,6,"14","""The Hormone-iums""","Chris Song","Lizzie Molyneux & Wendy Molyneux",2.18
